,Health,Mines Owned,Pub Dist,Mine Dist,Enemy Dist,action,prob
196,high,4.0,3.0,0.0,3.0,goMine,0.7499999981583064
197,high,4.0,3.0,0.0,4.0,goPub,0.4999990935371375
198,high,4.0,3.0,0.0,1.0,goPub,0.4998452393293797
199,high,4.0,3.0,0.0,1.0,Attack,0.4785667338018375
200,high,3.0,6.0,0.0,0.0,goPub,0.39270045226246647
201,high,3.0,3.0,0.0,1.0,goMine,0.7300012390731472
202,high,2.0,0.0,0.0,1.0,goPub,0.40000619526977993
203,high,2.0,0.0,0.0,2.0,Attack,0.5028060370087053
204,high,2.0,0.0,0.0,1.0,goMine,0.7507648638660923
205,high,2.0,0.0,0.0,2.0,goPub,0.5002624507360228
206,high,2.0,1.0,1.0,2.0,goMine,0.7573451149996556
207,high,2.0,0.0,2.0,0.0,Attack,0.5278312590539846
208,medium,3.0,1.0,3.0,0.0,goPub,0.5937473989071902
209,medium,3.0,0.0,2.0,0.0,goPub,0.4999895954103508
210,medium,3.0,1.0,1.0,2.0,goMine,0.7499722533921003
211,low,3.0,0.0,2.0,2.0,Attack,0.49988898870521836
212,low,3.0,1.0,2.0,2.0,goPub,0.49955555629559845
213,low,3.0,1.0,0.0,2.0,Attack,0.49276291536991446
214,low,3.0,0.0,1.0,0.0,goMine,0.7301723301947025
215,high,0.0,1.0,0.0,5.0,goPub,0.4008598028212838
216,high,1.0,3.0,1.0,8.0,goMine,0.765625
217,high,1.0,2.0,0.0,7.0,goPub,0.5
